router: 1, pid: 2796, port: 58344
router: 1, rule installed (255.255.255.255, 65535, 255.255.255.255, 65535, 65535) action 3
router: 1, rule installed (10.0.2.15, 50005, 128.52.129.126, 443, 6) action 1
router: 1, rule installed (128.52.129.126, 443, 10.0.2.15, 50005, 6) action 1
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from raw sock, (128.52.129.126, 443, 192.168.201.2, 50005, 6)
router: 1, rule hit (128.52.129.126, 443, 10.0.2.15, 50005, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
TCP from port : 56099,(10.0.2.15, 50005, 128.52.129.126, 443, 6)
router: 1, rule hit (10.0.2.15, 50005, 128.52.129.126, 443, 6)
router 1 closed
